driver_id,miles_driven,vehicle_type,driver_safety_score,date_latest_delivery,date_first_delivery,date_of_birth,date_of_loss,claim_closed_ind,incurred_loss_bodily_injury,incurred_legal_expenses
97,"18,278",sedan,5.00,5/10/2024,6/10/2020,9/10/1942,,,,
98,"16,276",truck,4.82,5/17/2024,10/17/2020,8/17/1973,,,,
99,"40,067",bicycle,5.00,4/29/2024,5/29/2020,12/29/1969,,,,
100,"2,657",bicycle,5.00,6/26/2024,1/26/2021,10/26/1969,,,,
101,"30,616",electric vehicle,1.39,6/24/2022,8/24/2020,1/1/2099,6/23/2022 20:48:00,1,"$15,182.00",$174.85
102,"3,608",motorcycle,2.53,5/31/2024,4/30/2023,12/30/1996,,,,
103,"8,465",bicycle,5.00,3/6/2024,5/6/2023,4/6/1950,,,,
104,"16,736",truck,3.01,1/13/2024,7/13/2022,8/13/1992,,,,
105,"22,574",electric vehicle,4.31,7/1/2024,7/1/2022,7/1/1980,,,,
106,"2,303",electric vehicle,5.00,6/29/2024,1/29/2024,,,,,
107,"9,716",bicycle,4.75,6/25/2024,4/25/2023,11/25/1976,,,,
108,"44,624",sedan,5.00,1/22/2023,2/22/2020,1/22/1971,,,,
109,"1,030",bicycle,3.36,6/21/2024,5/21/2024,6/21/1991,,,,
110,"1,205",motorcycle,5.00,6/30/2024,1/30/2024,11/30/1958,,,,
111,"42,711",sedan,4.07,2/17/2022,11/17/2018,5/17/1979,2/16/2022 20:49:00,1,"$12,233.00",$572.75
112,"2,188",sedan,5.00,5/31/2024,7/31/2023,4/30/1955,,,,
113,"12,360",bicycle,2.56,7/15/2022,2/15/2020,8/15/1993,,,,
114,"25,351",electric vehicle,4.38,2/23/2023,7/23/2020,10/23/1977,,,,
115,"15,827",motorcycle,4.89,4/9/2024,1/9/2023,3/9/1975,,,,
116,"13,243",sedan,2.61,7/1/2024,10/1/2022,11/1/1995,,,,
117,"12,603",bicycle,4.83,6/21/2024,3/21/2023,12/21/1975,,,,
118,"16,741",electric vehicle,3.00,1/31/2024,9/30/2021,11/30/1991,,,,
119,"19,541",motorcycle,4.78,10/3/2022,5/3/2020,8/3/1973,,,,
120,"3,018",motorcycle,0.99,6/3/2023,4/3/2022,1/1/2099,6/2/2023 17:42:00,1,"$69,277.00","$9,510.53"
121,"17,445",sedan,2.84,2/27/2022,6/27/2019,11/27/1990,2/27/2022 6:14:00,1,"$12,563.00",$559.08
122,"36,676",bicycle,5.00,5/26/2024,12/26/2020,7/26/1946,,,,
123,"5,211",sedan,5.00,2/25/2024,3/25/2020,9/25/1958,,,,
124,"9,869",electric vehicle,4.08,11/29/2023,11/29/2019,2/29/1980,,,,
125,"5,582",electric vehicle,0.65,7/26/2023,1/26/2023,1/1/2099,7/25/2023 16:39:00,0,"$8,940.00",$214.10
126,"2,862",truck,5.00,7/1/2024,5/1/2022,2/1/1951,,,,
127,"10,032",bicycle,5.00,5/6/2024,7/6/2023,12/6/1972,,,,
128,"39,116",truck,1.42,1/9/2023,7/9/2020,1/1/2099,1/8/2023 18:43:00,1,"$10,623.00",$279.52
129,"7,089",bicycle,3.77,6/17/2024,11/17/2023,4/17/1987,,,,
130,"13,024",bicycle,3.19,5/3/2024,9/3/2023,5/3/1992,,,,
131,"11,801",sedan,4.34,2/4/2024,9/4/2022,6/4/1980,,,,
132,"2,623",sedan,5.00,6/26/2024,4/26/2024,4/26/1960,,,,
133,"26,822",sedan,2.66,7/6/2022,7/6/2019,4/6/1992,7/6/2022 8:19:00,1,"$56,343.00","$4,234.16"
134,"3,835",truck,1.34,2/26/2024,2/26/2023,1/1/2099,2/25/2024 19:48:00,0,"$25,000.00","$3,423.32"
135,"9,775",truck,5.00,6/24/2024,10/24/2023,10/24/1961,,,,
136,"5,079",sedan,3.54,7/1/2024,5/1/2021,11/1/1986,,,,
137,"11,863",electric vehicle,3.20,7/1/2024,5/1/2022,,,,,
138,708,sedan,1.29,6/15/2024,4/15/2024,1/1/2099,,,,
139,"23,197",motorcycle,5.00,5/31/2024,10/31/2022,4/30/1963,,,,
140,"18,902",truck,2.18,9/2/2023,1/2/2022,12/2/1997,9/1/2023 20:49:00,0,"$12,171.00",$455.83
141,"25,576",bicycle,3.06,9/13/2023,9/13/2019,,9/13/2023 7:17:00,0,"$6,011.00",$170.02
142,"2,202",sedan,5.00,7/1/2024,6/1/2023,9/1/1971,,,,
143,"59,843",sedan,1.60,4/2/2022,1/2/2019,10/2/1997,4/1/2022 17:42:00,1,"$14,908.00",$313.91
144,"43,011",truck,4.28,2/6/2022,10/6/2018,2/6/1977,2/5/2022 22:53:00,1,"$98,025.00","$10,149.61"
145,"9,746",sedan,3.78,9/16/2023,7/16/2022,10/16/1985,,,,
146,"21,474",motorcycle,5.00,3/22/2024,12/22/2021,,,,,
147,"1,924",electric vehicle,5.00,7/28/2023,12/28/2022,7/28/1955,,,,
148,"11,968",sedan,3.91,6/25/2024,7/25/2023,6/25/1985,,,,
149,"3,477",electric vehicle,2.53,5/27/2024,5/27/2023,1/27/1997,,,,
150,"37,201",electric vehicle,5.00,1/29/2024,1/29/2021,10/29/1967,,,,
151,"7,779",sedan,3.85,2/22/2024,10/22/2023,5/22/1986,,,,
152,"28,359",sedan,5.00,6/22/2024,2/22/2021,3/22/1956,,,,
153,"1,463",bicycle,2.60,3/3/2023,2/3/2023,5/3/1996,,,,
154,"3,318",sedan,5.00,6/2/2024,3/2/2024,11/2/1957,,,,
155,"33,472",,2.57,12/18/2021,2/18/2019,7/18/1992,12/18/2021 7:16:00,1,"$42,620.00","$4,110.32"
156,"20,004",electric vehicle,1.40,3/16/2023,3/16/2021,1/1/2099,3/16/2023 1:00:00,0,"$17,950.00",$366.11
157,"6,493",bicycle,0.92,10/12/2022,10/12/2021,1/1/2099,10/11/2022 14:35:00,0,"$25,000.00","$2,043.03"
158,"34,944",bicycle,1.48,3/28/2023,6/28/2020,9/28/1999,3/28/2023 9:21:00,1,"$11,082.00",$331.34
159,"23,320",motorcycle,3.36,6/28/2024,6/28/2020,7/28/1987,,,,
160,"25,475",,2.27,8/20/2021,7/20/2018,11/20/1993,8/20/2021 9:22:00,1,"$13,901.00",$240.79
161,"14,719",bicycle,4.92,6/29/2024,10/29/2022,9/29/1974,,,,
162,"4,215",truck,0.74,10/31/2022,2/28/2022,1/1/2099,10/31/2022 10:24:00,1,"$61,364.00","$12,260.69"
163,"21,802",motorcycle,5.00,3/26/2024,11/26/2021,8/26/1947,,,,
164,"2,687",bicycle,2.21,1/18/2024,7/18/2023,4/18/1999,,,,
165,"1,454",electric vehicle,2.28,8/25/2023,6/25/2023,10/25/1998,,,,
166,"17,172",electric vehicle,1.60,1/30/2022,10/30/2020,8/30/1999,1/30/2022 11:27:00,1,"$53,900.00","$8,060.46"
167,"17,674",sedan,2.97,7/1/2024,2/1/2021,7/1/1991,,,,
168,"14,311",motorcycle,4.40,6/30/2024,4/30/2023,6/30/1980,,,,
169,"14,308",bicycle,3.09,6/27/2024,4/27/2023,10/27/1992,,,,
170,"47,317",sedan,5.00,1/21/2024,1/21/2021,9/21/1954,,,,
171,"16,172",sedan,4.44,7/1/2024,10/1/2022,7/1/1979,,,,
172,"9,036",motorcycle,4.52,6/19/2024,1/19/2023,12/19/1978,,,,
173,"1,299",sedan,3.94,3/5/2023,1/5/2023,10/5/1984,,,,
174,"16,451",sedan,1.26,3/29/2022,4/29/2020,,3/29/2022 1:00:00,1,"$22,653.00",$328.29
175,"16,527",motorcycle,5.00,6/30/2024,9/30/2022,11/30/1949,,,,
176,"23,939",sedan,5.00,7/19/2023,9/19/2021,1/19/1964,,,,
177,"22,865",truck,5.00,7/1/2024,10/1/2021,2/1/1955,,,,
178,"40,231",motorcycle,5.00,1/19/2023,4/19/2019,3/19/1963,,,,
179,"29,613",motorcycle,5.00,9/3/2023,1/3/2022,12/3/1950,,,,
180,"19,704",bicycle,5.00,4/13/2023,2/13/2022,2/13/1958,,,,
181,"10,902",electric vehicle,5.00,6/27/2023,10/27/2021,9/27/1957,,,,
182,"37,144",electric vehicle,5.00,3/10/2024,1/10/2021,9/10/1948,,,,
183,"2,289",sedan,5.00,12/21/2023,8/21/2023,7/21/1948,,,,
184,214,electric vehicle,0.17,6/22/2022,6/22/2022,1/1/2099,6/22/2022 2:05:00,1,"$12,995.00",$427.11
185,"8,216",electric vehicle,4.88,6/21/2024,1/21/2023,4/21/1975,,,,
186,"1,097",electric vehicle,3.66,7/1/2024,12/1/2023,4/1/1988,,,,
187,"32,424",motorcycle,4.44,6/27/2024,4/27/2022,12/27/1978,,,,
188,"24,211",sedan,5.00,6/29/2024,10/29/2022,5/29/1946,,,,
189,"7,456",,1.12,10/26/2021,4/26/2020,1/1/2099,10/25/2021 21:52:00,1,"$20,869.00",$391.34
190,"33,703",bicycle,2.81,5/22/2023,5/22/2020,1/22/1992,5/22/2023 6:14:00,1,"$12,776.00",$332.03
191,"22,115",sedan,5.00,1/14/2024,11/14/2020,4/14/1947,,,,
192,"3,681",motorcycle,2.28,6/28/2024,9/28/2020,1/28/1996,,,,
193,"1,807",sedan,4.41,2/27/2024,1/27/2024,1/27/1981,,,,
194,"44,191",truck,1.76,4/7/2023,3/7/2020,4/7/1998,4/7/2023 4:08:00,1,"$39,638.00","$4,085.51"
195,"19,872",bicycle,3.70,3/26/2023,1/26/2021,2/26/1985,,,,
196,"11,932",electric vehicle,4.14,4/21/2023,2/21/2020,10/21/1979,,,,
197,"5,453",sedan,5.00,10/19/2022,4/19/2022,4/19/1964,,,,
198,"10,493",bicycle,3.63,6/30/2024,5/30/2023,1/30/1988,,,,
199,"6,443",motorcycle,4.14,6/11/2024,12/11/2021,8/11/1981,,,,
200,"3,190",motorcycle,5.00,5/2/2024,7/2/2020,2/2/1963,,,,
201,"22,921",electric vehicle,1.18,2/11/2024,6/11/2022,1/1/2099,2/10/2024 16:39:00,0,"$6,521.00",$118.17
202,"16,814",bicycle,5.00,2/8/2023,6/8/2021,12/8/1969,,,,
203,"16,346",motorcycle,1.94,10/27/2022,6/27/2021,9/27/1998,10/26/2022 23:56:00,1,"$101,441.00","$12,947.41"
204,"51,270",truck,5.00,6/27/2024,10/27/2021,2/27/1966,,,,
205,"1,597",electric vehicle,4.16,3/31/2024,6/30/2021,12/30/1980,,,,
206,"10,606",,0.91,11/18/2021,11/18/2020,1/1/2099,11/18/2021 5:13:00,1,"$13,629.00",$293.96
207,"13,822",sedan,5.00,2/1/2024,12/1/2022,,,,,
208,"25,327",sedan,4.02,7/1/2024,6/1/2022,5/1/1983,,,,
209,"1,842",sedan,5.00,6/29/2024,2/29/2024,,,,,
210,"14,990",motorcycle,2.61,7/31/2023,3/31/2020,4/30/1993,,,,
211,362,bicycle,3.29,5/19/2024,1/19/2024,10/19/1991,,,,
212,"4,113",electric vehicle,2.12,6/9/2024,5/9/2021,8/9/1997,,,,
213,"37,770",motorcycle,5.00,1/15/2024,10/15/2020,12/15/1951,,,,
214,"31,987",electric vehicle,3.48,4/11/2023,7/11/2019,8/11/1985,4/10/2023 18:43:00,0,"$25,000.00","$3,600.77"
215,"1,077",sedan,2.45,7/1/2024,6/1/2024,9/1/1998,,,,
216,"39,444",electric vehicle,2.76,1/12/2023,3/12/2019,4/12/1991,1/11/2023 18:45:00,0,"$12,540.00",$266.19
217,"3,215",electric vehicle,3.68,6/22/2024,3/22/2024,5/22/1988,,,,
218,"13,330",bicycle,5.00,12/6/2023,9/6/2021,12/6/1944,,,,
219,"41,569",electric vehicle,2.90,1/19/2024,2/19/2020,2/19/1991,1/18/2024 17:42:00,1,"$17,474.00","$2,258.89"
220,"1,706",bicycle,5.00,1/1/2023,10/1/2022,2/1/1968,,,,
221,"3,003",sedan,5.00,6/30/2024,2/29/2024,2/28/1965,,,,
222,"11,455",truck,5.00,3/27/2024,8/27/2022,3/27/1962,,,,
223,"23,040",electric vehicle,3.48,7/1/2024,12/1/2021,1/1/1988,,,,
224,"14,575",electric vehicle,5.00,6/27/2024,6/27/2023,6/27/1947,,,,
225,"24,745",truck,1.65,8/2/2022,7/2/2019,2/2/1998,8/2/2022 7:18:00,0,"$15,043.00",$590.28
226,"14,565",sedan,3.55,5/2/2024,7/2/2022,12/2/1987,,,,
227,"37,886",truck,2.29,2/28/2024,3/28/2020,6/28/1995,2/28/2024 10:24:00,0,"$3,651.00",$110.23
228,171,sedan,2.61,5/25/2024,4/25/2024,5/25/1997,,,,
229,"15,734",motorcycle,2.25,12/11/2023,7/11/2022,1/11/1998,12/10/2023 19:48:00,0,"$4,107.00",$118.40
230,627,sedan,3.08,6/7/2024,3/7/2024,9/7/1993,,,,
231,889,bicycle,2.93,4/22/2023,6/22/2020,,,,,
232,"1,904",sedan,5.00,6/29/2024,12/29/2020,5/29/1957,,,,
233,"2,025",motorcycle,4.79,6/2/2024,1/2/2024,2/2/1977,,,,
234,"10,513",electric vehicle,2.85,2/24/2024,7/24/2023,12/24/1994,,,,
235,"31,792",truck,5.00,6/1/2024,9/1/2020,4/1/1957,,,,
236,"49,049",bicycle,5.00,10/11/2023,6/11/2020,8/11/1948,,,,
237,"18,083",sedan,3.99,5/17/2024,5/17/2022,,,,,
238,"33,184",motorcycle,5.00,4/19/2024,10/19/2021,3/19/1972,,,,
239,"22,876",sedan,1.61,5/31/2022,2/28/2019,11/28/1997,5/31/2022 11:27:00,0,"$12,796.00",$551.82
240,"23,001",motorcycle,5.00,3/4/2023,4/4/2019,5/4/1949,,,,
241,"57,104",electric vehicle,3.61,6/12/2023,6/12/2019,4/12/1984,6/11/2023 13:33:00,1,"$8,929.00",$116.90
242,"20,658",electric vehicle,4.89,5/21/2024,8/21/2021,10/21/1973,,,,
243,"9,945",electric vehicle,3.74,6/22/2024,8/22/2023,4/22/1987,,,,
244,"1,109",sedan,2.61,5/19/2024,4/19/2024,6/19/1997,,,,
245,"8,519",bicycle,5.00,6/23/2024,9/23/2022,7/23/1957,,,,
246,"8,200",bicycle,4.31,6/29/2024,10/29/2022,10/29/1980,,,,
247,"9,067",motorcycle,4.43,5/30/2024,6/30/2023,4/30/1980,,,,
248,"10,862",sedan,5.00,2/28/2023,3/28/2020,3/28/1959,,,,
249,"22,826",motorcycle,5.00,6/29/2023,12/29/2021,12/29/1971,,,,
250,"1,201",motorcycle,5.00,11/17/2023,8/17/2023,2/17/1963,,,,
251,"34,132",motorcycle,5.00,6/30/2024,7/30/2022,4/30/1971,,,,
252,"18,730",sedan,3.98,6/30/2024,7/30/2020,11/30/1981,,,,
253,"10,774",sedan,2.20,5/13/2023,4/13/2020,2/13/1996,,,,
254,"1,647",bicycle,3.80,5/2/2024,8/2/2023,8/2/1986,,,,
255,"16,010",electric vehicle,4.33,6/18/2024,10/18/2022,8/18/1980,,,,
256,"10,284",sedan,3.85,7/1/2024,11/1/2022,7/1/1985,,,,
257,"17,498",bicycle,2.15,10/5/2022,11/5/2018,12/5/1994,10/5/2022 2:03:00,1,"$34,322.00","$5,420.34"
258,"80,303",electric vehicle,5.00,5/28/2022,7/28/2018,4/28/1953,5/28/2022 4:09:00,1,"$27,091.00","$1,291.43"
259,"23,326",electric vehicle,4.90,2/21/2023,6/21/2019,7/21/1971,,,,
260,"5,607",motorcycle,2.79,6/30/2024,8/30/2020,,,,,
261,"17,624",sedan,5.00,2/19/2024,9/19/2021,1/19/1955,,,,
262,"19,668",,2.64,11/2/2021,1/2/2020,12/2/1992,11/1/2021 12:30:00,1,"$38,246.00","$5,619.67"
263,"1,026",motorcycle,5.00,5/18/2024,3/18/2024,8/18/1951,,,,
264,"35,422",bicycle,5.00,1/9/2024,4/9/2020,8/9/1968,,,,
265,"30,176",electric vehicle,1.42,2/6/2022,8/6/2019,2/6/1999,2/5/2022 18:44:00,1,"$12,704.00",$591.72
266,"55,127",electric vehicle,5.00,12/16/2023,6/16/2020,4/16/1956,,,,
267,"1,695",electric vehicle,5.00,6/5/2024,4/5/2024,6/5/1965,,,,
268,"5,885",sedan,4.55,1/12/2024,5/12/2022,12/12/1977,,,,
269,"15,257",sedan,2.04,10/18/2023,8/18/2020,4/18/1997,10/17/2023 20:49:00,0,"$7,996.00",$167.09
270,"1,523",bicycle,5.00,3/1/2024,11/1/2023,10/1/1949,,,,
271,"24,544",sedan,5.00,1/28/2024,2/28/2020,2/28/1946,,,,
272,"7,401",sedan,5.00,11/28/2022,10/28/2020,6/28/1944,,,,
273,"24,111",sedan,1.20,3/12/2023,6/12/2021,1/1/2099,3/11/2023 20:50:00,0,"$25,000.00","$3,587.65"
274,"4,938",sedan,3.38,6/30/2024,9/30/2023,8/30/1990,,,,
275,"10,262",sedan,4.10,4/12/2024,4/12/2023,6/12/1983,,,,
276,"19,230",sedan,5.00,6/29/2024,10/29/2022,8/29/1965,,,,
277,"6,256",sedan,1.44,4/6/2022,8/6/2021,1/1/2099,4/5/2022 19:47:00,1,"$17,176.00",$575.20
278,"3,960",motorcycle,0.69,3/28/2024,8/28/2023,1/1/2099,3/27/2024 17:43:00,0,"$5,053.00",$171.83
279,"19,512",sedan,3.15,7/1/2024,11/1/2022,11/1/1991,,,,
280,815,truck,4.89,7/1/2024,3/1/2024,5/1/1976,,,,
281,"1,233",truck,0.25,1/26/2023,12/26/2022,1/1/2099,1/26/2023 5:13:00,1,"$11,944.00",$321.53
282,"25,127",bicycle,5.00,6/18/2023,10/18/2020,6/18/1946,,,,
283,"8,981",sedan,4.54,6/29/2024,6/29/2022,3/29/1978,,,,
284,"5,802",truck,1.77,6/2/2024,5/2/2021,5/2/1999,,,,
285,"1,047",,0.21,7/26/2021,6/26/2021,1/1/2099,7/25/2021 19:46:00,1,"$82,287.00","$9,195.35"
286,"48,004",motorcycle,4.88,6/28/2024,10/28/2020,1/28/1973,,,,
287,"50,765",bicycle,3.61,5/6/2024,8/6/2021,6/6/1986,5/6/2024 10:25:00,0,"$4,227.00",$94.58
288,"13,221",motorcycle,5.00,7/1/2024,10/1/2023,4/1/1948,,,,
289,"6,258",bicycle,5.00,4/9/2024,12/9/2021,12/9/1957,,,,
290,"23,353",sedan,5.00,3/13/2024,2/13/2022,9/13/1959,,,,
291,"1,845",sedan,5.00,5/11/2024,3/11/2024,11/11/1970,,,,
292,"15,910",sedan,5.00,7/1/2024,11/1/2020,9/1/1952,,,,
293,"22,718",truck,3.95,7/1/2024,2/1/2021,9/1/1982,,,,
294,"17,706",sedan,5.00,6/30/2024,12/30/2021,2/29/1952,,,,
295,"25,929",motorcycle,5.00,7/1/2024,3/1/2022,6/1/1952,,,,
296,"65,003",truck,5.00,12/24/2023,2/24/2020,6/24/1957,,,,
297,"20,203",electric vehicle,4.24,4/26/2024,11/26/2022,8/26/1981,,,,
298,"10,818",sedan,1.01,3/3/2022,12/3/2020,1/1/2099,3/3/2022 7:17:00,1,"$14,443.00",$212.79
299,"12,017",sedan,1.77,1/16/2022,4/16/2021,5/16/1999,1/16/2022 11:27:00,1,"$11,949.00",$222.85
